form_id,lexeme,cell,phon_form
222,opinoi,fut.pfv.irr.2act.nsgact.3und.sgund.fem.nplu,bpinɔɛj
223,opinoi,fut.pfv.irr.2act.nsgact.3und.sgund.def.nplu,spinɔɛj
224,opinoi,fut.pfv.irr.2act.nsgact.3und.nsgund.nplu,spinɔɛj
225,opinoi,fut.pfv.irr.3act.sgact.1und.sgund.nplu,brpinɔ
226,opinoi,fut.pfv.irr.3act.sgact.1und.nsgund.nplu,ⁿtpinɔ
227,opinoi,fut.pfv.irr.3act.sgact.2und.sgund.nplu,ⁿtpinɔ
228,opinoi,fut.pfv.irr.3act.sgact.2und.nsgund.nplu,srpinɔ
229,opinoi,fut.pfv.irr.3act.sgact.3und.sgund.fem.nplu,brpinɔ
230,opinoi,fut.pfv.irr.3act.sgact.3und.sgund.def.nplu,srpinɔ
231,opinoi,fut.pfv.irr.3act.sgact.3und.nsgund.nplu,srpinɔ
232,opinoi,fut.pfv.irr.3act.nsgact.1und.sgund.nplu,brpinɔmɛ
233,opinoi,fut.pfv.irr.3act.nsgact.1und.nsgund.nplu,ⁿtpinɔmɛ
234,opinoi,fut.pfv.irr.3act.nsgact.2und.sgund.nplu,ⁿtpinɔmɛ
235,opinoi,fut.pfv.irr.3act.nsgact.2und.nsgund.nplu,srpinɔmɛ
236,opinoi,fut.pfv.irr.3act.nsgact.3und.sgund.fem.nplu,brpinɔmɛ
237,opinoi,fut.pfv.irr.3act.nsgact.3und.sgund.def.nplu,srpinɔmɛ
238,opinoi,fut.pfv.irr.3act.nsgact.3und.nsgund.nplu,srpinɔmɛ
239,opinoi,fut.pfv.pot.1act.sgact.2und.sgund.nplu,ⁿtpinɔɔmɔ
240,opinoi,fut.pfv.pot.1act.sgact.2und.nsgund.nplu,srpinɔɔmɔ
241,opinoi,fut.pfv.pot.1act.sgact.3und.sgund.fem.nplu,brpinɔɔmɔ
242,opinoi,fut.pfv.pot.1act.sgact.3und.sgund.def.nplu,srpinɔɔmɔ
243,opinoi,fut.pfv.pot.1act.sgact.3und.nsgund.nplu,srpinɔɔmɔ
244,opinoi,fut.pfv.pot.1act.nsgact.2und.sgund.nplu,ⁿtpinɔɔmɔɛj
245,opinoi,fut.pfv.pot.1act.nsgact.2und.nsgund.nplu,srpinɔɔmɔɛj
246,opinoi,fut.pfv.pot.1act.nsgact.3und.sgund.fem.nplu,brpinɔɔmɔɛj
247,opinoi,fut.pfv.pot.1act.nsgact.3und.sgund.def.nplu,srpinɔɔmɔɛj
248,opinoi,fut.pfv.pot.1act.nsgact.3und.nsgund.nplu,srpinɔɔmɔɛj
249,opinoi,fut.pfv.pot.2act.sgact.1und.sgund.nplu,bpinɔɔmɔ
250,opinoi,fut.pfv.pot.2act.sgact.1und.nsgund.nplu,ⁿtpinɔɔmɔ
251,opinoi,fut.pfv.pot.2act.sgact.3und.sgund.fem.nplu,bpinɔɔmɔ
252,opinoi,fut.pfv.pot.2act.sgact.3und.sgund.def.nplu,spinɔɔmɔ
253,opinoi,fut.pfv.pot.2act.sgact.3und.nsgund.nplu,spinɔɔmɔ
254,opinoi,fut.pfv.pot.2act.nsgact.1und.sgund.nplu,bpinɔɔmɔɛj
255,opinoi,fut.pfv.pot.2act.nsgact.1und.nsgund.nplu,ⁿtpinɔɔmɔɛj
256,opinoi,fut.pfv.pot.2act.nsgact.3und.sgund.fem.nplu,bpinɔɔmɔɛj
257,opinoi,fut.pfv.pot.2act.nsgact.3und.sgund.def.nplu,spinɔɔmɔɛj
258,opinoi,fut.pfv.pot.2act.nsgact.3und.nsgund.nplu,spinɔɔmɔɛj
259,opinoi,fut.pfv.pot.3act.sgact.1und.sgund.nplu,brpinɔɔmɔ
260,opinoi,fut.pfv.pot.3act.sgact.1und.nsgund.nplu,ⁿtpinɔɔmɔ
261,opinoi,fut.pfv.pot.3act.sgact.2und.sgund.nplu,ⁿtpinɔɔmɔ
262,opinoi,fut.pfv.pot.3act.sgact.2und.nsgund.nplu,srpinɔɔmɔ
263,opinoi,fut.pfv.pot.3act.sgact.3und.sgund.fem.nplu,brpinɔɔmɔ
264,opinoi,fut.pfv.pot.3act.sgact.3und.sgund.def.nplu,srpinɔɔmɔ
265,opinoi,fut.pfv.pot.3act.sgact.3und.nsgund.nplu,srpinɔɔmɔ
266,opinoi,fut.pfv.pot.3act.nsgact.1und.sgund.nplu,brpinɔɔmɔmɛ
267,opinoi,fut.pfv.pot.3act.nsgact.1und.nsgund.nplu,ⁿtpinɔɔmɔmɛ
268,opinoi,fut.pfv.pot.3act.nsgact.2und.sgund.nplu,ⁿtpinɔɔmɔmɛ
269,opinoi,fut.pfv.pot.3act.nsgact.2und.nsgund.nplu,srpinɔɔmɔmɛ
270,opinoi,fut.pfv.pot.3act.nsgact.3und.sgund.fem.nplu,brpinɔɔmɔmɛ
